contract_group,underlying_asset,traded_contracts_day,traded_contracts_mtd,traded_contracts_ytd,daily_average_mtd,daily_average_ytd,open_interest,fecha,es_total
FUTURES STOCK,AMS,0,7,1069,1,10,133,2026-06-09,False
FUTURES INDEX IBEX 35 DIVIDEND,,0,25,3400,4,31,3625,2026-06-09,False
FUTURES STOCK,ACS,0,5,6058,1,55,1183,2026-06-09,False
FUTURES STOCK,BBVA,0,135,144251,19,1311,39186,2026-06-09,False
FUTURES STOCK,ACX,0,0,440,0,4,34,2026-06-09,False
FUTURES STOCK,CABK,0,0,1492,0,14,323,2026-06-09,False
OPTIONS STOCK,AMS,303,3468,34533,495,314,19317,2026-06-09,False
FUTURES STOCK,IAG,0,10,610,1,6,40,2026-06-09,False
FUTURES STOCK,BKT,0,0,812,0,7,116,2026-06-09,False
FUTURES STOCK,CIE,0,0,1,0,0,1,2026-06-09,False
FUTURES STOCK,CLNX,0,0,241,0,2,58,2026-06-09,False
FUTURES STOCK,COL,0,0,220,0,2,100,2026-06-09,False
FUTURES STOCK,ELE,0,2,417,0,4,56,2026-06-09,False
FUTURES STOCK,ENG,0,0,7711,0,70,7550,2026-06-09,False
FUTURES STOCK,FDR,0,0,2,0,0,0,2026-06-09,False
FUTURES MINI IBEX 35,,3422,18601,395537,2657,3596,3709,2026-06-09,False
FUTURES STOCK,ANA,0,0,257,0,2,75,2026-06-09,False
FUTURES STOCK,REP,0,25,24321,4,221,15386,2026-06-09,False
FUTURES STOCK,GRF,0,4,330,1,3,215,2026-06-09,False
FUTURES STOCK,FER,0,0,1963,0,18,375,2026-06-09,False
FUTURES STOCK,SCYR,0,0,34,0,0,0,2026-06-09,False
FUTURES STOCK,SAN,0,152,3502015,22,31837,1536798,2026-06-09,False
FUTURES STOCK,SAB,0,0,920,0,8,508,2026-06-09,False
FUTURES STOCK,ROVI,0,0,129,0,1,2,2026-06-09,False
FUTURES XROLLING STOCK,ITX,0,0,4000,0,36,0,2026-06-09,False
FUTURES STOCK,RED,0,0,194,0,2,64,2026-06-09,False
FUTURES STOCK,PUIG,0,0,312,0,3,230,2026-06-09,False
FUTURES STOCK,NTGY,0,0,5140,0,47,5014,2026-06-09,False
FUTURES STOCK,MAP,0,0,579,0,5,434,2026-06-09,False
OPTIONS STOCK,ANA,0,10,1505,1,14,990,2026-06-09,False
FUTURES STOCK,TEF,0,100,21485,14,195,20210,2026-06-09,False
FUTURES STOCK,SLR,0,0,393,0,4,1,2026-06-09,False
FUTURES STOCK DIVIDEND,REPD,0,0,1550,0,14,1901,2026-06-09,False
FUTURES STOCK,UNI,0,0,10,0,0,10,2026-06-09,False
FUTURES STOCK DIVIDEND TOTAL,,0,0,69222,0,629,28726,2026-06-09,True
FUTURES STOCK DIVIDEND,BBVD,0,0,700,0,6,750,2026-06-09,False
FUTURES STOCK DIVIDEND,GASD,0,0,500,0,5,500,2026-06-09,False
FUTURES STOCK DIVIDEND,IBED,0,0,0,0,0,100,2026-06-09,False
FUTURES STOCK DIVIDEND,SAND,0,0,66472,0,604,25425,2026-06-09,False
FUTURES STOCK DIVIDEND,TEFD,0,0,0,0,0,50,2026-06-09,False
OPTIONS STOCK TOTAL,,31851,389908,6329142,55700,57536,6477488,2026-06-09,True
OPTIONS STOCK,A3M,1,151,567,22,5,403,2026-06-09,False
OPTIONS STOCK,ACS,26,53,6250,8,57,6746,2026-06-09,False
OPTIONS STOCK,ACX,5,147,7305,21,66,5446,2026-06-09,False
OPTIONS STOCK,AENA,3238,3597,8963,514,81,6421,2026-06-09,False
OPTIONS STOCK,ALM,0,1,22,0,0,29,2026-06-09,False
OPTIONS STOCK,RED,2,260,8865,37,81,5740,2026-06-09,False
OPTIONS STOCK,BBVA,7520,31731,714876,4533,6499,663050,2026-06-09,False
OPTIONS STOCK,FER,5,8664,57768,1238,525,39518,2026-06-09,False
FUTURES STOCK,MTS,0,4,1463,1,13,204,2026-06-09,False
OPTIONS STOCK,PUIG,38,2477,32160,354,292,33866,2026-06-09,False
OPTIONS STOCK,CABK,50,14663,268248,2095,2439,299417,2026-06-09,False
OPTIONS STOCK,CIE,5,5,171,1,2,155,2026-06-09,False
OPTIONS STOCK,CLNX,2,150,32569,21,296,30141,2026-06-09,False
OPTIONS STOCK,COL,3,111,8942,16,81,4856,2026-06-09,False
OPTIONS STOCK,EBRO,0,1,47,0,0,29,2026-06-09,False
OPTIONS STOCK,ELE,0,52,7625,7,69,8181,2026-06-09,False
OPTIONS STOCK,ENC,0,0,37,0,0,27,2026-06-09,False
OPTIONS STOCK,ENG,37,273,33207,39,302,35102,2026-06-09,False
FUTURES XROLLING FX,EURAUD,0,0,35,0,0,0,2026-06-09,False
OPTIONS STOCK,FCC,0,0,280,0,3,2110,2026-06-09,False
OPTIONS STOCK,GRF,115,466,30555,67,278,21622,2026-06-09,False
OPTIONS STOCK,BKT,0,7,7363,1,67,6968,2026-06-09,False
OPTIONS STOCK,MEL,0,7,1820,1,17,3293,2026-06-09,False
OPTIONS STOCK,PHM,4,36,595,5,5,305,2026-06-09,False
OPTIONS STOCK,OHLA,350,350,3138,50,29,1771,2026-06-09,False
OPTIONS STOCK,NTGY,0,1582,92435,226,840,20329,2026-06-09,False
OPTIONS STOCK,MRL,0,115,70323,16,639,55024,2026-06-09,False
OPTIONS STOCK,MTS,30,879,4504,126,41,1476,2026-06-09,False
OPTIONS STOCK,MAP,15,34,3180,5,29,1760,2026-06-09,False
OPTIONS STOCK,ITX,96,5409,33036,773,300,38877,2026-06-09,False
OPTIONS STOCK,IDR,43,379,38621,54,351,5744,2026-06-09,False
OPTIONS STOCK,FDR,0,7,999,1,9,948,2026-06-09,False
FUTURES XROLLING FX TOTAL,,8,76,2316,10,19,2224,2026-06-09,True
OPTIONS STOCK,IAG,112,4809,23770,687,216,30768,2026-06-09,False
OPTIONS STOCK,ANE,0,0,56,0,1,40,2026-06-09,False
FUTURES XROLLING STOCK TOTAL,,0,0,6000,0,54,0,2026-06-09,True
OPTIONS STOCK,UNI,0,4,355,1,3,316,2026-06-09,False
OPTIONS STOCK,REP,57,11545,372503,1649,3386,760148,2026-06-09,False
OPTIONS STOCK,SAB,8,718,15513,103,141,17148,2026-06-09,False
OPTIONS STOCK,SAN,3022,198570,1440331,28367,13094,1237792,2026-06-09,False
OPTIONS STOCK,SCYR,0,40,20999,6,191,20680,2026-06-09,False
OPTIONS STOCK,SLR,0,10,10030,1,91,337,2026-06-09,False
OPTIONS STOCK,IBE,1441,64004,1771494,9143,16104,1467487,2026-06-09,False
OPTIONS STOCK,TRE,0,15,1399,2,13,1092,2026-06-09,False
OPTIONS STOCK,ROVI,1,10,7173,1,65,5693,2026-06-09,False
OPTIONS STOCK,VID,0,2,174,0,2,67,2026-06-09,False
OPTIONS STOCK,VIS,2,143,709,20,6,418,2026-06-09,False
OPTIONS STOCK,TEF,15320,34953,1154127,4993,10492,1615841,2026-06-09,False
FUTURES XROLLING FX,AUDJPY,0,0,6,0,0,0,2026-06-09,False
FUTURES XROLLING FX,AUDUSD,0,0,17,0,0,1,2026-06-09,False
FUTURES XROLLING FX,USDJPY,8,10,44,1,0,8,2026-06-09,False
FUTURES XROLLING FX,USDCHF,0,0,235,0,2,4,2026-06-09,False
FUTURES XROLLING FX,USDCAD,0,0,18,0,0,0,2026-06-09,False
FUTURES XROLLING FX,NZDUSD,0,0,36,0,0,0,2026-06-09,False
FUTURES XROLLING FX,USDMXN,0,0,2,0,0,0,2026-06-09,False
FUTURES XROLLING FX,GBPCHF,0,0,9,0,0,0,2026-06-09,False
FUTURES XROLLING FX,EURUSD,0,64,1382,9,13,2199,2026-06-09,False
FUTURES XROLLING FX,EURJPY,0,1,254,0,2,12,2026-06-09,False
FUTURES XROLLING FX,EURGBP,0,0,16,0,0,0,2026-06-09,False
FUTURES XROLLING FX,EURCHF,0,1,150,0,1,0,2026-06-09,False
FUTURES XROLLING FX,GBPUSD,0,0,112,0,1,0,2026-06-09,False
OPTIONS STOCK,IBE,4,64008,1771498,8001,15959,1467482,2026-06-10,False
OPTIONS STOCK,PHM,4,40,599,5,5,309,2026-06-10,False
OPTIONS STOCK,OHLA,750,1100,3888,138,35,1221,2026-06-10,False
OPTIONS STOCK,NTGY,12,1594,92447,199,833,20321,2026-06-10,False
OPTIONS STOCK,MEL,0,7,1820,1,16,3293,2026-06-10,False
FUTURES XROLLING STOCK TOTAL,,0,0,6000,0,54,0,2026-06-10,True
OPTIONS STOCK,ITX,44,5453,33080,682,298,38908,2026-06-10,False
OPTIONS STOCK,IDR,13,392,38634,49,348,5757,2026-06-10,False
OPTIONS STOCK,MAP,100,134,3280,17,30,1660,2026-06-10,False
OPTIONS STOCK,MTS,102,981,4606,123,41,1574,2026-06-10,False
OPTIONS STOCK,MRL,0,115,70323,14,634,55024,2026-06-10,False
OPTIONS STOCK,CABK,29,14692,268277,1837,2417,299444,2026-06-10,False
OPTIONS STOCK,BKT,10,17,7373,2,66,6978,2026-06-10,False
OPTIONS STOCK,FER,126,8790,57894,1099,522,39644,2026-06-10,False
FUTURES STOCK,MTS,0,4,1463,1,13,204,2026-06-10,False
OPTIONS STOCK,FCC,0,0,280,0,3,2110,2026-06-10,False
OPTIONS STOCK,ENG,160,433,33367,54,301,35171,2026-06-10,False
OPTIONS STOCK,ENC,0,0,37,0,0,27,2026-06-10,False
OPTIONS STOCK,ELE,11,63,7636,8,69,8192,2026-06-10,False
OPTIONS STOCK,EBRO,0,1,47,0,0,29,2026-06-10,False
OPTIONS STOCK,COL,0,111,8942,14,81,4856,2026-06-10,False
OPTIONS STOCK,CLNX,3,153,32572,19,293,30143,2026-06-10,False
OPTIONS STOCK,CIE,5,10,176,1,2,150,2026-06-10,False
OPTIONS STOCK,PUIG,1,2478,32161,310,290,33867,2026-06-10,False
OPTIONS STOCK,IAG,43,4852,23813,607,215,30781,2026-06-10,False
FUTURES XROLLING FX TOTAL,,2,78,2318,9,18,2224,2026-06-10,True
OPTIONS STOCK,TEF,15,34968,1154142,4371,10398,1615842,2026-06-10,False
OPTIONS STOCK,REP,234,11779,372737,1472,3358,760125,2026-06-10,False
OPTIONS STOCK,GRF,5,471,30560,59,275,21625,2026-06-10,False
FUTURES XROLLING FX,GBPCHF,0,0,9,0,0,0,2026-06-10,False
FUTURES XROLLING FX,EURCHF,0,1,150,0,1,0,2026-06-10,False
FUTURES XROLLING FX,EURGBP,0,0,16,0,0,0,2026-06-10,False
FUTURES XROLLING FX,EURJPY,0,1,254,0,2,12,2026-06-10,False
FUTURES XROLLING FX,EURUSD,0,64,1382,8,12,2199,2026-06-10,False
FUTURES XROLLING FX,USDMXN,0,0,2,0,0,0,2026-06-10,False
FUTURES XROLLING FX,GBPUSD,0,0,112,0,1,0,2026-06-10,False
FUTURES XROLLING FX,NZDUSD,0,0,36,0,0,0,2026-06-10,False
FUTURES XROLLING FX,USDCAD,0,0,18,0,0,0,2026-06-10,False
FUTURES XROLLING FX,USDCHF,0,0,235,0,2,4,2026-06-10,False
FUTURES XROLLING FX,USDJPY,0,10,44,1,0,8,2026-06-10,False
FUTURES XROLLING FX,AUDUSD,0,0,17,0,0,1,2026-06-10,False
FUTURES XROLLING FX,EURAUD,2,2,37,0,0,0,2026-06-10,False
FUTURES XROLLING FX,AUDJPY,0,0,6,0,0,0,2026-06-10,False
OPTIONS STOCK,VIS,1,144,710,18,6,419,2026-06-10,False
OPTIONS STOCK,VID,1,3,175,0,2,66,2026-06-10,False
OPTIONS STOCK,UNI,0,4,355,1,3,316,2026-06-10,False
OPTIONS STOCK,TRE,0,15,1399,2,13,1092,2026-06-10,False
OPTIONS STOCK,SLR,0,10,10030,1,90,337,2026-06-10,False
OPTIONS STOCK,SCYR,13,53,21012,7,189,20693,2026-06-10,False
OPTIONS STOCK,SAN,221,198791,1440552,24849,12978,1237919,2026-06-10,False
OPTIONS STOCK,SAB,0,718,15513,90,140,17148,2026-06-10,False
OPTIONS STOCK,ROVI,0,10,7173,1,65,5693,2026-06-10,False
OPTIONS STOCK,RED,79,339,8944,42,81,5718,2026-06-10,False
OPTIONS STOCK,BBVA,3042,34773,717918,4347,6468,664361,2026-06-10,False
OPTIONS STOCK,ANE,0,0,56,0,1,40,2026-06-10,False
OPTIONS STOCK,FDR,0,7,999,1,9,948,2026-06-10,False
OPTIONS STOCK,AMS,74,3542,34607,443,312,19339,2026-06-10,False
FUTURES STOCK,AENA,0,0,203,0,2,25,2026-06-10,False
FUTURES STOCK,FDR,0,0,2,0,0,0,2026-06-10,False
FUTURES STOCK,ENG,0,0,7711,0,69,7550,2026-06-10,False
FUTURES STOCK,ELE,1,3,418,0,4,57,2026-06-10,False
FUTURES STOCK,COL,0,0,220,0,2,100,2026-06-10,False
FUTURES STOCK,CLNX,0,0,241,0,2,58,2026-06-10,False
FUTURES STOCK,CIE,0,0,1,0,0,1,2026-06-10,False
FUTURES STOCK,CABK,50,50,1542,6,14,323,2026-06-10,False
FUTURES STOCK,BKT,0,0,812,0,7,116,2026-06-10,False
FUTURES STOCK,BBVA,0,135,144251,17,1300,39186,2026-06-10,False
FUTURES STOCK,IAG,0,10,610,1,5,40,2026-06-10,False
FUTURES STOCK,ANA,0,0,257,0,2,75,2026-06-10,False
FUTURES STOCK,FER,0,0,1963,0,18,375,2026-06-10,False
FUTURES STOCK,ACX,0,0,440,0,4,34,2026-06-10,False
FUTURES MINI IBEX 35,,3050,21651,398587,2706,3591,3812,2026-06-10,False
FUTURES STOCK,IBE,0,19,25995,2,234,7381,2026-06-10,False
FUTURES STOCK,AMS,0,7,1069,1,10,133,2026-06-10,False
FUTURES XROLLING STOCK,AMS,0,0,2000,0,18,0,2026-06-10,False
FUTURES IBEX 35,,5971,50449,1554865,6306,14008,50212,2026-06-10,False
FUTURES INDEX TOTAL,,9021,72125,1956852,9015,17630,57649,2026-06-10,True
FUTURES INDEX IBEX 35 DIVIDEND,,0,25,3400,3,31,3625,2026-06-10,False
OPTIONS INDEX IBEX 35 TOTAL,,449,1950,147601,244,1330,70470,2026-06-10,True
OPTIONS INDEX IBEX 35,,449,1950,147601,244,1330,70470,2026-06-10,False
FUTURES STOCK TOTAL,,4575,5094,3767087,637,33937,1649193,2026-06-10,True
FUTURES STOCK,IDR,2,22,3141,3,28,335,2026-06-10,False
FUTURES STOCK,ITX,10,46,10316,6,93,8649,2026-06-10,False
FUTURES XROLLING STOCK,ITX,0,0,4000,0,36,0,2026-06-10,False
FUTURES STOCK,ACS,1,6,6059,1,55,1182,2026-06-10,False
OPTIONS STOCK,AENA,4,3601,8967,450,81,6425,2026-06-10,False
OPTIONS STOCK,ALM,0,1,22,0,0,29,2026-06-10,False
OPTIONS STOCK,ACX,10,157,7315,20,66,5456,2026-06-10,False
OPTIONS STOCK,ACS,7,60,6257,8,56,6746,2026-06-10,False
OPTIONS STOCK,A3M,0,151,567,19,5,403,2026-06-10,False
OPTIONS STOCK TOTAL,,5130,395038,6334272,49383,57068,6478676,2026-06-10,True
FUTURES STOCK DIVIDEND,TEFD,0,0,0,0,0,50,2026-06-10,False
FUTURES STOCK DIVIDEND,SAND,0,0,66472,0,599,25425,2026-06-10,False
FUTURES STOCK DIVIDEND,IBED,0,0,0,0,0,100,2026-06-10,False
FUTURES STOCK DIVIDEND,GASD,0,0,500,0,5,500,2026-06-10,False
FUTURES STOCK DIVIDEND,BBVD,0,0,700,0,6,750,2026-06-10,False
FUTURES STOCK DIVIDEND TOTAL,,0,0,69222,0,624,28726,2026-06-10,True
FUTURES STOCK,UNI,0,0,10,0,0,10,2026-06-10,False
FUTURES STOCK DIVIDEND,REPD,0,0,1550,0,14,1901,2026-06-10,False
FUTURES STOCK,SLR,0,0,393,0,4,1,2026-06-10,False
FUTURES STOCK,TEF,4502,4602,25987,575,234,24710,2026-06-10,False
OPTIONS STOCK,ANA,7,17,1512,2,14,995,2026-06-10,False
FUTURES STOCK,MAP,0,0,579,0,5,434,2026-06-10,False
FUTURES STOCK,NTGY,0,0,5140,0,46,5014,2026-06-10,False
FUTURES STOCK,PUIG,0,0,312,0,3,230,2026-06-10,False
FUTURES STOCK,RED,6,6,200,1,2,58,2026-06-10,False
FUTURES STOCK,GRF,0,4,330,1,3,215,2026-06-10,False
FUTURES STOCK,ROVI,0,0,129,0,1,2,2026-06-10,False
FUTURES STOCK,SAB,0,0,920,0,8,508,2026-06-10,False
FUTURES STOCK,SAN,3,155,3502018,19,31550,1536801,2026-06-10,False
FUTURES STOCK,SCYR,0,0,34,0,0,0,2026-06-10,False
FUTURES STOCK,REP,0,25,24321,3,219,15386,2026-06-10,False
FUTURES STOCK,ACS,0,6,6059,1,54,1182,2026-06-11,False
FUTURES STOCK TOTAL,,2144857,2149951,5911944,238882,52785,1649196,2026-06-11,True
OPTIONS INDEX IBEX 35,,289,2239,147890,249,1320,70557,2026-06-11,False
OPTIONS INDEX IBEX 35 TOTAL,,289,2239,147890,249,1320,70557,2026-06-11,True
FUTURES INDEX IBEX 35 DIVIDEND,,0,25,3400,3,30,3625,2026-06-11,False
FUTURES INDEX TOTAL,,10610,82735,1967462,9193,17567,57987,2026-06-11,True
FUTURES IBEX 35,,7044,57493,1561909,6388,13946,50828,2026-06-11,False
FUTURES XROLLING STOCK,AMS,0,0,2000,0,18,0,2026-06-11,False
FUTURES STOCK,AMS,2,9,1071,1,10,133,2026-06-11,False
FUTURES STOCK,IBE,0,19,25995,2,232,7381,2026-06-11,False
FUTURES MINI IBEX 35,,3566,25217,402153,2802,3591,3534,2026-06-11,False
FUTURES STOCK,ACX,0,0,440,0,4,34,2026-06-11,False
FUTURES STOCK,FER,0,0,1963,0,18,375,2026-06-11,False
FUTURES STOCK,ANA,0,0,257,0,2,75,2026-06-11,False
FUTURES STOCK,IAG,0,10,610,1,5,40,2026-06-11,False
FUTURES STOCK,BBVA,25,160,144276,18,1288,39161,2026-06-11,False
FUTURES STOCK,BKT,0,0,812,0,7,116,2026-06-11,False
FUTURES STOCK,CABK,0,50,1542,6,14,323,2026-06-11,False
FUTURES STOCK,CIE,0,0,1,0,0,1,2026-06-11,False
FUTURES STOCK,CLNX,0,0,241,0,2,58,2026-06-11,False
FUTURES STOCK,COL,0,0,220,0,2,100,2026-06-11,False
FUTURES STOCK,ELE,0,3,418,0,4,57,2026-06-11,False
FUTURES STOCK,ENG,0,0,7711,0,69,7550,2026-06-11,False
FUTURES STOCK,FDR,0,0,2,0,0,0,2026-06-11,False
FUTURES STOCK,AENA,0,0,203,0,2,25,2026-06-11,False
FUTURES STOCK,ITX,0,46,10316,5,92,8649,2026-06-11,False
FUTURES STOCK DIVIDEND TOTAL,,7550,7550,76772,839,685,28726,2026-06-11,True
OPTIONS STOCK,AENA,505,4106,9472,456,85,5920,2026-06-11,False
FUTURES STOCK,GRF,0,4,330,0,3,215,2026-06-11,False
OPTIONS STOCK,ANA,4,21,1516,2,14,997,2026-06-11,False
FUTURES STOCK,MTS,0,4,1463,0,13,204,2026-06-11,False
FUTURES STOCK,NTGY,0,0,5140,0,46,5014,2026-06-11,False
FUTURES STOCK,PUIG,0,0,312,0,3,230,2026-06-11,False
FUTURES STOCK,RED,0,6,200,1,2,58,2026-06-11,False
FUTURES STOCK,REP,28,53,24349,6,217,15414,2026-06-11,False
FUTURES STOCK,ROVI,0,0,129,0,1,2,2026-06-11,False
FUTURES STOCK,SAB,0,0,920,0,8,508,2026-06-11,False
FUTURES STOCK,SAN,2144801,2144956,5646819,238328,50418,1536800,2026-06-11,False
FUTURES STOCK,SCYR,0,0,34,0,0,0,2026-06-11,False
FUTURES STOCK,SLR,1,1,394,0,4,2,2026-06-11,False
FUTURES STOCK,TEF,0,4602,25987,511,232,24710,2026-06-11,False
FUTURES STOCK,UNI,0,0,10,0,0,10,2026-06-11,False
FUTURES XROLLING STOCK,ITX,0,0,4000,0,36,0,2026-06-11,False
FUTURES STOCK DIVIDEND,BBVD,0,0,700,0,6,750,2026-06-11,False
FUTURES STOCK DIVIDEND,GASD,0,0,500,0,4,500,2026-06-11,False
FUTURES STOCK DIVIDEND,IBED,0,0,0,0,0,100,2026-06-11,False
FUTURES STOCK DIVIDEND,REPD,0,0,1550,0,14,1901,2026-06-11,False
FUTURES STOCK DIVIDEND,SAND,7550,7550,74022,839,661,25425,2026-06-11,False
FUTURES STOCK DIVIDEND,TEFD,0,0,0,0,0,50,2026-06-11,False
OPTIONS STOCK TOTAL,,157734,552772,6492006,61418,57966,6363035,2026-06-11,True
OPTIONS STOCK,A3M,0,151,567,17,5,403,2026-06-11,False
OPTIONS STOCK,ACS,43,103,6300,11,56,6768,2026-06-11,False
OPTIONS STOCK,ACX,3,160,7318,18,65,5455,2026-06-11,False
OPTIONS STOCK,ALM,0,1,22,0,0,29,2026-06-11,False
OPTIONS STOCK,AMS,87,3629,34694,403,310,19423,2026-06-11,False
FUTURES STOCK,IDR,0,22,3141,2,28,335,2026-06-11,False
OPTIONS STOCK,ANE,3,3,59,0,1,43,2026-06-11,False
OPTIONS STOCK,GRF,47,518,30607,58,273,21644,2026-06-11,False
OPTIONS STOCK,CABK,5,14697,268282,1633,2395,299449,2026-06-11,False
OPTIONS STOCK,CIE,0,10,176,1,2,150,2026-06-11,False
OPTIONS STOCK,CLNX,11,164,32583,18,291,30142,2026-06-11,False
OPTIONS STOCK,COL,57,168,8999,19,80,4799,2026-06-11,False
OPTIONS STOCK,EBRO,0,1,47,0,0,29,2026-06-11,False
OPTIONS STOCK,ELE,13,76,7649,8,68,8204,2026-06-11,False
OPTIONS STOCK,ENC,0,0,37,0,0,27,2026-06-11,False
OPTIONS STOCK,ENG,18,451,33385,50,298,35171,2026-06-11,False
OPTIONS STOCK,FCC,0,0,280,0,3,2110,2026-06-11,False
FUTURES STOCK,MAP,0,0,579,0,5,434,2026-06-11,False
OPTIONS STOCK,FER,2645,11435,60539,1271,541,42269,2026-06-11,False
OPTIONS STOCK,BKT,0,17,7373,2,66,6978,2026-06-11,False
OPTIONS STOCK,IAG,30,4882,23843,542,213,30772,2026-06-11,False
OPTIONS STOCK,MRL,0,115,70323,13,628,55024,2026-06-11,False
OPTIONS STOCK,PUIG,27,2505,32188,278,287,33842,2026-06-11,False
OPTIONS STOCK,PHM,0,40,599,4,5,309,2026-06-11,False
OPTIONS STOCK,OHLA,0,1100,3888,122,35,1221,2026-06-11,False
OPTIONS STOCK,MTS,0,981,4606,109,41,1574,2026-06-11,False
OPTIONS STOCK,NTGY,149,1743,92596,194,827,20242,2026-06-11,False
OPTIONS STOCK,MEL,0,7,1820,1,16,3293,2026-06-11,False
OPTIONS STOCK,MAP,205,339,3485,38,31,1459,2026-06-11,False
OPTIONS STOCK,ITX,14,5467,33094,607,295,38907,2026-06-11,False
OPTIONS STOCK,IDR,67,459,38701,51,346,5824,2026-06-11,False
OPTIONS STOCK,IBE,1016,65024,1772514,7225,15826,1468198,2026-06-11,False
OPTIONS STOCK,RED,3,342,8947,38,80,5715,2026-06-11,False
FUTURES XROLLING STOCK TOTAL,,0,0,6000,0,54,0,2026-06-11,True
OPTIONS STOCK,FDR,0,7,999,1,9,948,2026-06-11,False
OPTIONS STOCK,BBVA,10260,45033,728178,5004,6502,674558,2026-06-11,False
OPTIONS STOCK,ROVI,26,36,7199,4,64,5704,2026-06-11,False
OPTIONS STOCK,REP,9482,21261,382219,2362,3413,763807,2026-06-11,False
OPTIONS STOCK,SAB,17,735,15530,82,139,17145,2026-06-11,False
OPTIONS STOCK,SAN,309,199100,1440861,22122,12865,1238093,2026-06-11,False
OPTIONS STOCK,SCYR,0,53,21012,6,188,20693,2026-06-11,False
OPTIONS STOCK,SLR,40,50,10070,6,90,337,2026-06-11,False
OPTIONS STOCK,TEF,132642,167610,1286784,18623,11489,1483467,2026-06-11,False
OPTIONS STOCK,UNI,0,4,355,0,3,316,2026-06-11,False
OPTIONS STOCK,VID,4,7,179,1,2,64,2026-06-11,False
OPTIONS STOCK,VIS,0,144,710,16,6,419,2026-06-11,False
FUTURES XROLLING FX TOTAL,,0,78,2318,8,18,2224,2026-06-11,True
FUTURES XROLLING FX,AUDJPY,0,0,6,0,0,0,2026-06-11,False
OPTIONS STOCK,TRE,2,17,1401,2,13,1094,2026-06-11,False
FUTURES XROLLING FX,EURAUD,0,2,37,0,0,0,2026-06-11,False
FUTURES XROLLING FX,AUDUSD,0,0,17,0,0,1,2026-06-11,False
FUTURES XROLLING FX,USDJPY,0,10,44,1,0,8,2026-06-11,False
FUTURES XROLLING FX,USDCHF,0,0,235,0,2,4,2026-06-11,False
FUTURES XROLLING FX,USDCAD,0,0,18,0,0,0,2026-06-11,False
FUTURES XROLLING FX,NZDUSD,0,0,36,0,0,0,2026-06-11,False
FUTURES XROLLING FX,GBPUSD,0,0,112,0,1,0,2026-06-11,False
FUTURES XROLLING FX,USDMXN,0,0,2,0,0,0,2026-06-11,False
FUTURES XROLLING FX,EURUSD,0,64,1382,7,12,2199,2026-06-11,False
FUTURES XROLLING FX,EURJPY,0,1,254,0,2,12,2026-06-11,False
FUTURES XROLLING FX,EURGBP,0,0,16,0,0,0,2026-06-11,False
FUTURES XROLLING FX,EURCHF,0,1,150,0,1,0,2026-06-11,False
FUTURES XROLLING FX,GBPCHF,0,0,9,0,0,0,2026-06-11,False
OPTIONS STOCK,IBE,313,65337,1772827,6534,15689,1468197,2026-06-12,False
OPTIONS STOCK,IDR,10,469,38711,47,343,5828,2026-06-12,False
OPTIONS STOCK,ITX,106,5573,33200,557,294,38994,2026-06-12,False
OPTIONS STOCK,MAP,10,349,3495,35,31,1449,2026-06-12,False
OPTIONS STOCK,MEL,0,7,1820,1,16,3293,2026-06-12,False
OPTIONS STOCK,NTGY,81,1824,92677,182,820,20258,2026-06-12,False
OPTIONS STOCK,MTS,20,1001,4626,100,41,1576,2026-06-12,False
OPTIONS STOCK,OHLA,0,1100,3888,110,34,1221,2026-06-12,False
OPTIONS STOCK,PHM,1,41,600,4,5,310,2026-06-12,False
OPTIONS STOCK,PUIG,24,2529,32212,253,285,33822,2026-06-12,False
OPTIONS STOCK,MRL,1070,1185,71393,119,632,54309,2026-06-12,False
OPTIONS STOCK,IAG,82,4964,23925,496,212,30717,2026-06-12,False
OPTIONS STOCK,BKT,1,18,7374,2,65,6979,2026-06-12,False
OPTIONS STOCK,FER,2726,14161,63265,1416,560,39784,2026-06-12,False
OPTIONS STOCK,FDR,0,7,999,1,9,948,2026-06-12,False
OPTIONS STOCK,FCC,1,1,281,0,2,2111,2026-06-12,False
OPTIONS STOCK,ENG,7,458,33392,46,296,35168,2026-06-12,False
OPTIONS STOCK,ENC,0,0,37,0,0,27,2026-06-12,False
OPTIONS STOCK,ELE,37,113,7686,11,68,8201,2026-06-12,False
OPTIONS STOCK,EBRO,0,1,47,0,0,29,2026-06-12,False
OPTIONS STOCK,COL,7,175,9006,18,80,4797,2026-06-12,False
OPTIONS STOCK,CLNX,20,184,32603,18,289,30152,2026-06-12,False
OPTIONS STOCK,CIE,0,10,176,1,2,150,2026-06-12,False
OPTIONS STOCK,CABK,2,14699,268284,1470,2374,299451,2026-06-12,False
OPTIONS STOCK,GRF,191,709,30798,71,273,21781,2026-06-12,False
OPTIONS STOCK,RED,12,354,8959,35,79,5714,2026-06-12,False
FUTURES XROLLING STOCK TOTAL,,0,0,6000,0,53,0,2026-06-12,True
OPTIONS STOCK,ROVI,2,38,7201,4,64,5704,2026-06-12,False
OPTIONS STOCK,BBVA,412,45445,728590,4545,6448,674868,2026-06-12,False
FUTURES XROLLING FX,USDMXN,0,0,2,0,0,0,2026-06-12,False
FUTURES XROLLING FX,USDJPY,0,10,44,1,0,8,2026-06-12,False
FUTURES XROLLING FX,USDCHF,0,0,235,0,2,4,2026-06-12,False
FUTURES XROLLING FX,USDCAD,0,0,18,0,0,0,2026-06-12,False
