contract_group,underlying_asset,traded_contracts_day,traded_contracts_mtd,traded_contracts_ytd,daily_average_mtd,daily_average_ytd,open_interest,fecha,es_total
OPTIONS STOCK,COL,100,108,8939,22,83,4853,2026-06-05,False
FUTURES XROLLING STOCK,AMS,0,0,2000,0,19,0,2026-06-05,False
OPTIONS STOCK,CABK,9518,14602,268187,2920,2483,308886,2026-06-05,False
OPTIONS STOCK,ITX,200,5309,32936,1062,305,38837,2026-06-05,False
OPTIONS STOCK,SCYR,0,40,20999,8,194,20680,2026-06-05,False
OPTIONS STOCK,RED,3,257,8862,51,82,5741,2026-06-05,False
FUTURES STOCK DIVIDEND,GASD,0,0,500,0,5,500,2026-06-05,False
FUTURES STOCK,CIE,0,0,1,0,0,1,2026-06-05,False
OPTIONS STOCK,ALM,0,1,22,0,0,29,2026-06-05,False
OPTIONS STOCK,AENA,9,355,5721,71,53,3207,2026-06-05,False
OPTIONS STOCK,ACX,30,120,7278,24,67,5419,2026-06-05,False
OPTIONS STOCK,ACS,2,21,6218,4,58,6766,2026-06-05,False
OPTIONS STOCK,A3M,150,150,566,30,5,404,2026-06-05,False
FUTURES STOCK DIVIDEND,TEFD,0,0,0,0,0,50,2026-06-05,False
FUTURES STOCK DIVIDEND,SAND,0,0,66472,0,615,25425,2026-06-05,False
FUTURES STOCK DIVIDEND,REPD,0,0,1550,0,14,1901,2026-06-05,False
FUTURES STOCK DIVIDEND,IBED,0,0,0,0,0,100,2026-06-05,False
OPTIONS STOCK TOTAL,,77700,194183,6133417,38834,56792,6332765,2026-06-05,True
FUTURES STOCK DIVIDEND TOTAL,,0,0,69222,0,640,28726,2026-06-05,True
FUTURES STOCK,SCYR,0,0,34,0,0,0,2026-06-05,False
FUTURES STOCK,ROVI,0,0,129,0,1,2,2026-06-05,False
FUTURES STOCK,PUIG,0,0,312,0,3,230,2026-06-05,False
FUTURES STOCK,RED,0,0,194,0,2,64,2026-06-05,False
FUTURES STOCK,SAB,0,0,920,0,9,508,2026-06-05,False
FUTURES STOCK,MTS,4,4,1463,1,14,204,2026-06-05,False
FUTURES STOCK,NTGY,0,0,5140,0,48,5014,2026-06-05,False
FUTURES STOCK,SLR,0,0,393,0,4,1,2026-06-05,False
FUTURES STOCK,TEF,100,100,21485,20,199,20210,2026-06-05,False
OPTIONS STOCK,BKT,0,7,7363,1,68,6968,2026-06-05,False
FUTURES STOCK,SAN,151,152,3502015,30,32426,1536798,2026-06-05,False
FUTURES STOCK,ACX,0,0,440,0,4,34,2026-06-05,False
FUTURES STOCK,UNI,0,0,10,0,0,10,2026-06-05,False
FUTURES STOCK,ITX,5,11,10281,2,95,8659,2026-06-05,False
OPTIONS STOCK,AMS,11,3109,34174,622,316,19020,2026-06-05,False
FUTURES INDEX IBEX 35 DIVIDEND,,25,25,3400,5,31,3625,2026-06-05,False
OPTIONS STOCK,ANE,0,0,56,0,1,40,2026-06-05,False
